#brick_id brick_type brick_x_pos brick_y_pos brick_z_pos brick_yaw_rotated
1 3 0.72 0.10 0.10 0
2 2 0.10 0.60 0.10 1
3 1 0.10 1.14 0.10 1
4 2 0.36 0.10 0.30 0
5 2 1.08 0.10 0.30 0
6 2 0.10 0.60 0.30 1
7 1 0.10 1.14 0.30 1
8 3 0.72 0.10 0.50 0
9 1 0.10 0.42 0.50 1
10 2 0.10 0.96 0.50 1
11 3 0.72 0.10 0.70 0
12 2 0.10 0.60 0.70 1
13 1 0.10 1.14 0.70 1
14 2 0.36 0.10 0.90 0
15 2 1.08 0.10 0.90 0
16 2 0.10 0.60 0.90 1
17 1 0.10 1.14 0.90 1
18 3 0.72 0.10 1.10 0
19 1 0.10 0.42 1.10 1
20 2 0.10 0.96 1.10 1
21 3 0.72 0.10 1.30 0
22 2 0.10 0.60 1.30 1
23 1 0.10 1.14 1.30 1
24 2 0.36 0.10 1.50 0
25 2 1.08 0.10 1.50 0
26 2 0.10 0.60 1.50 1
27 1 0.10 1.14 1.50 1
28 3 0.72 0.10 1.70 0
29 1 0.10 0.42 1.70 1
30 2 0.10 0.96 1.70 1
