#brick_id brick_type brick_x_pos brick_y_pos brick_z_pos brick_yaw_rotated
800 1 0 -3.46945e-18 3.3 0
799 3 0.432867 -3.46945e-18 3.3 0
798 2 0.865345 -3.46945e-18 3.3 0
797 3 1.29901 -3.46945e-18 3.3 0
796 4 1.7311 -3.46945e-18 3.3 0
795 3 3.89106 -3.46945e-18 3.3 0
794 2 3.45898 -3.46945e-18 3.3 0
793 4 3.02531 -3.46945e-18 3.3 0
792 2 2.59283 -3.46945e-18 3.3 0
791 1 2.15997 -3.46945e-18 3.3 0
790 1 4.32782 -3.46945e-18 3.3 0
789 1 4.76068 -3.46945e-18 3.3 0
788 4 5.19316 -3.46945e-18 3.3 0
787 3 5.62683 -3.46945e-18 3.3 0
786 2 6.05891 -3.46945e-18 3.3 0
785 4 8.22147 -3.46945e-18 3.3 0
784 3 7.78938 -3.46945e-18 3.3 0
783 4 7.35572 -3.46945e-18 3.3 0
782 3 6.92324 -3.46945e-18 3.3 0
781 1 6.49037 -3.46945e-18 3.3 0
780 1 8.65909 -3.46945e-18 3.3 0
779 3 9.09196 -3.46945e-18 3.3 0
778 1 9.52444 -3.46945e-18 3.3 0
777 1 9.95811 -3.46945e-18 3.3 0
776 1 10.3902 -3.46945e-18 3.3 0
775 1 10.6152 -3.46945e-18 3.5 0
774 2 10.1831 -3.46945e-18 3.5 0
773 1 9.74946 -3.46945e-18 3.5 0
772 3 9.31699 -3.46945e-18 3.5 0
771 1 8.88412 -3.46945e-18 3.5 0
770 1 6.71539 -3.46945e-18 3.5 0
769 3 7.14826 -3.46945e-18 3.5 0
768 4 7.58074 -3.46945e-18 3.5 0
767 3 8.01441 -3.46945e-18 3.5 0
766 4 8.44649 -3.46945e-18 3.5 0
765 2 6.28394 -3.46945e-18 3.5 0
764 3 5.85185 -3.46945e-18 3.5 0
763 4 5.41819 -3.46945e-18 3.5 0
762 1 4.98571 -3.46945e-18 3.5 0
761 1 4.55284 -3.46945e-18 3.5 0
760 1 2.38499 -3.46945e-18 3.5 0
759 2 2.81786 -3.46945e-18 3.5 0
758 4 3.25034 -3.46945e-18 3.5 0
757 2 3.684 -3.46945e-18 3.5 0
756 3 4.11609 -3.46945e-18 3.5 0
755 4 1.95612 -3.46945e-18 3.5 0
754 2 1.52404 -3.46945e-18 3.5 0
753 4 1.09037 -3.46945e-18 3.5 0
752 3 0.657891 -3.46945e-18 3.5 0
751 1 0.225024 -3.46945e-18 3.5 0
750 1 0.225024 -3.46945e-18 3.9 0
749 3 0.657891 -3.46945e-18 3.9 0
748 4 1.09037 -3.46945e-18 3.9 0
747 2 1.52404 -3.46945e-18 3.9 0
746 4 1.95612 -3.46945e-18 3.9 0
745 3 4.11609 -3.46945e-18 3.9 0
744 2 3.684 -3.46945e-18 3.9 0
743 4 3.25034 -3.46945e-18 3.9 0
742 2 2.81786 -3.46945e-18 3.9 0
741 1 2.38499 -3.46945e-18 3.9 0
740 1 4.55284 -3.46945e-18 3.9 0
739 1 4.98571 -3.46945e-18 3.9 0
738 4 5.41819 -3.46945e-18 3.9 0
737 3 5.85185 -3.46945e-18 3.9 0
736 2 6.28394 -3.46945e-18 3.9 0
735 4 8.44649 -3.46945e-18 3.9 0
734 3 8.01441 -3.46945e-18 3.9 0
733 4 7.58074 -3.46945e-18 3.9 0
732 3 7.14826 -3.46945e-18 3.9 0
731 1 6.71539 -3.46945e-18 3.9 0
730 1 8.88412 -3.46945e-18 3.9 0
729 3 9.31699 -3.46945e-18 3.9 0
728 1 9.74946 -3.46945e-18 3.9 0
727 2 10.1831 -3.46945e-18 3.9 0
726 1 10.6152 -3.46945e-18 3.9 0
725 1 10.3902 -3.46945e-18 3.7 0
724 1 9.95811 -3.46945e-18 3.7 0
723 1 9.52444 -3.46945e-18 3.7 0
722 3 9.09196 -3.46945e-18 3.7 0
721 1 8.65909 -3.46945e-18 3.7 0
720 1 6.49037 -3.46945e-18 3.7 0
719 3 6.92324 -3.46945e-18 3.7 0
718 4 7.35572 -3.46945e-18 3.7 0
717 3 7.78938 -3.46945e-18 3.7 0
716 4 8.22147 -3.46945e-18 3.7 0
715 2 6.05891 -3.46945e-18 3.7 0
714 3 5.62683 -3.46945e-18 3.7 0
713 4 5.19316 -3.46945e-18 3.7 0
712 1 4.76068 -3.46945e-18 3.7 0
711 1 4.32782 -3.46945e-18 3.7 0
710 1 2.15997 -3.46945e-18 3.7 0
709 2 2.59283 -3.46945e-18 3.7 0
708 4 3.02531 -3.46945e-18 3.7 0
707 2 3.45898 -3.46945e-18 3.7 0
706 3 3.89106 -3.46945e-18 3.7 0
705 4 1.7311 -3.46945e-18 3.7 0
704 3 1.29901 -3.46945e-18 3.7 0
703 2 0.865345 -3.46945e-18 3.7 0
702 3 0.432867 -3.46945e-18 3.7 0
701 1 0 -3.46945e-18 3.7 0
700 1 0 -3.46945e-18 4.5 0
699 3 0.432867 -3.46945e-18 4.5 0
698 2 0.865345 -3.46945e-18 4.5 0
697 3 1.29901 -3.46945e-18 4.5 0
696 4 1.7311 -3.46945e-18 4.5 0
695 3 3.89106 -3.46945e-18 4.5 0
694 2 3.45898 -3.46945e-18 4.5 0
693 4 3.02531 -3.46945e-18 4.5 0
692 2 2.59283 -3.46945e-18 4.5 0
691 1 2.15997 -3.46945e-18 4.5 0
690 1 4.32782 -3.46945e-18 4.5 0
689 1 4.76068 -3.46945e-18 4.5 0
688 4 5.19316 -3.46945e-18 4.5 0
687 3 5.62683 -3.46945e-18 4.5 0
686 2 6.05891 -3.46945e-18 4.5 0
685 4 8.22147 -3.46945e-18 4.5 0
684 3 7.78938 -3.46945e-18 4.5 0
683 4 7.35572 -3.46945e-18 4.5 0
682 3 6.92324 -3.46945e-18 4.5 0
681 1 6.49037 -3.46945e-18 4.5 0
680 1 8.65909 -3.46945e-18 4.5 0
679 3 9.09196 -3.46945e-18 4.5 0
678 1 9.52444 -3.46945e-18 4.5 0
677 1 9.95811 -3.46945e-18 4.5 0
676 1 10.3902 -3.46945e-18 4.5 0
675 1 10.6152 -3.46945e-18 4.7 0
674 2 10.1831 -3.46945e-18 4.7 0
673 1 9.74946 -3.46945e-18 4.7 0
672 3 9.31699 -3.46945e-18 4.7 0
671 1 8.88412 -3.46945e-18 4.7 0
670 1 6.71539 -3.46945e-18 4.7 0
669 3 7.14826 -3.46945e-18 4.7 0
668 4 7.58074 -3.46945e-18 4.7 0
667 3 8.01441 -3.46945e-18 4.7 0
666 4 8.44649 -3.46945e-18 4.7 0
665 2 6.28394 -3.46945e-18 4.7 0
664 3 5.85185 -3.46945e-18 4.7 0
663 4 5.41819 -3.46945e-18 4.7 0
662 1 4.98571 -3.46945e-18 4.7 0
661 1 4.55284 -3.46945e-18 4.7 0
660 1 2.38499 -3.46945e-18 4.7 0
659 2 2.81786 -3.46945e-18 4.7 0
658 4 3.25034 -3.46945e-18 4.7 0
657 2 3.684 -3.46945e-18 4.7 0
656 3 4.11609 -3.46945e-18 4.7 0
655 4 1.95612 -3.46945e-18 4.7 0
654 2 1.52404 -3.46945e-18 4.7 0
653 4 1.09037 -3.46945e-18 4.7 0
652 3 0.657891 -3.46945e-18 4.7 0
651 1 0.225024 -3.46945e-18 4.7 0
650 1 0.225024 -3.46945e-18 4.3 0
649 3 0.657891 -3.46945e-18 4.3 0
648 4 1.09037 -3.46945e-18 4.3 0
647 2 1.52404 -3.46945e-18 4.3 0
646 4 1.95612 -3.46945e-18 4.3 0
645 3 4.11609 -3.46945e-18 4.3 0
644 2 3.684 -3.46945e-18 4.3 0
643 4 3.25034 -3.46945e-18 4.3 0
642 2 2.81786 -3.46945e-18 4.3 0
641 1 2.38499 -3.46945e-18 4.3 0
640 1 4.55284 -3.46945e-18 4.3 0
639 1 4.98571 -3.46945e-18 4.3 0
638 4 5.41819 -3.46945e-18 4.3 0
637 3 5.85185 -3.46945e-18 4.3 0
636 2 6.28394 -3.46945e-18 4.3 0
635 4 8.44649 -3.46945e-18 4.3 0
634 3 8.01441 -3.46945e-18 4.3 0
633 4 7.58074 -3.46945e-18 4.3 0
632 3 7.14826 -3.46945e-18 4.3 0
631 1 6.71539 -3.46945e-18 4.3 0
630 1 8.88412 -3.46945e-18 4.3 0
629 3 9.31699 -3.46945e-18 4.3 0
628 1 9.74946 -3.46945e-18 4.3 0
627 2 10.1831 -3.46945e-18 4.3 0
626 1 10.6152 -3.46945e-18 4.3 0
625 1 10.3902 -3.46945e-18 4.1 0
624 1 9.95811 -3.46945e-18 4.1 0
623 1 9.52444 -3.46945e-18 4.1 0
622 3 9.09196 -3.46945e-18 4.1 0
621 1 8.65909 -3.46945e-18 4.1 0
620 1 6.49037 -3.46945e-18 4.1 0
619 3 6.92324 -3.46945e-18 4.1 0
618 4 7.35572 -3.46945e-18 4.1 0
617 3 7.78938 -3.46945e-18 4.1 0
616 4 8.22147 -3.46945e-18 4.1 0
