#brick_id brick_type brick_x_pos brick_y_pos brick_z_pos brick_yaw_rotated
1 1 0 -3.46945e-18 0.1 0
2 3 0.470094 -3.46945e-18 0.1 0
3 2 1.39171 -3.46945e-18 0.1 0
4 4 2.91114 -3.46945e-18 0.1 0
5 4 4.73264 -3.46945e-18 0.1 0
6 2 6.25747 -3.46945e-18 0.1 0
7 3 7.17478 -3.46945e-18 0.1 0
8 1 7.6359 -3.46945e-18 0.1 0
9 2 0.448768 -3.46945e-18 0.3 0
10 3 1.36106 -3.46945e-18 0.3 0
11 3 1.97262 -3.46945e-18 0.3 0
12 1 2.4321 -3.46945e-18 0.3 0
13 1 2.74451 -3.46945e-18 0.3 0
14 1 3.05902 -3.46945e-18 0.3 0
15 1 3.36394 -3.46945e-18 0.3 0
16 3 3.81919 -3.46945e-18 0.3 0
17 1 4.27536 -3.46945e-18 0.3 0
18 1 4.58713 -3.46945e-18 0.3 0
19 1 4.89495 -3.46945e-18 0.3 0
20 1 5.20179 -3.46945e-18 0.3 0
21 3 5.66076 -3.46945e-18 0.3 0
22 3 6.27465 -3.46945e-18 0.3 0
23 2 7.18451 -3.46945e-18 0.3 0
24 2 7.18451 -3.46945e-18 0.7 0
25 3 6.27465 -3.46945e-18 0.7 0
26 3 5.66076 -3.46945e-18 0.7 0
27 1 5.20179 -3.46945e-18 0.7 0
28 1 4.89495 -3.46945e-18 0.7 0
29 1 4.58713 -3.46945e-18 0.7 0
30 1 4.27536 -3.46945e-18 0.7 0
31 3 3.81919 -3.46945e-18 0.7 0
32 1 3.36394 -3.46945e-18 0.7 0
33 1 3.05902 -3.46945e-18 0.7 0
34 1 2.74451 -3.46945e-18 0.7 0
35 1 2.4321 -3.46945e-18 0.7 0
36 3 1.97262 -3.46945e-18 0.7 0
37 3 1.36106 -3.46945e-18 0.7 0
38 2 0.448768 -3.46945e-18 0.7 0
39 1 7.6359 -3.46945e-18 0.5 0
40 3 7.17478 -3.46945e-18 0.5 0
41 2 6.25747 -3.46945e-18 0.5 0
42 4 4.73264 -3.46945e-18 0.5 0
43 4 2.91114 -3.46945e-18 0.5 0
44 2 1.39171 -3.46945e-18 0.5 0
45 3 0.470094 -3.46945e-18 0.5 0
46 1 0 -3.46945e-18 0.5 0
47 1 0 -3.46945e-18 1.3 0
48 3 0.470094 -3.46945e-18 1.3 0
49 2 1.39171 -3.46945e-18 1.3 0
50 4 2.91114 -3.46945e-18 1.3 0
51 4 4.73264 -3.46945e-18 1.3 0
52 2 6.25747 -3.46945e-18 1.3 0
53 3 7.17478 -3.46945e-18 1.3 0
54 1 7.6359 -3.46945e-18 1.3 0
55 2 0.448768 -3.46945e-18 1.5 0
56 3 1.36106 -3.46945e-18 1.5 0
57 3 1.97262 -3.46945e-18 1.5 0
58 1 2.4321 -3.46945e-18 1.5 0
59 1 2.74451 -3.46945e-18 1.5 0
60 1 3.05902 -3.46945e-18 1.5 0
61 1 3.36394 -3.46945e-18 1.5 0
62 3 3.81919 -3.46945e-18 1.5 0
63 1 4.27536 -3.46945e-18 1.5 0
64 1 4.58713 -3.46945e-18 1.5 0
65 1 4.89495 -3.46945e-18 1.5 0
66 1 5.20179 -3.46945e-18 1.5 0
67 3 5.66076 -3.46945e-18 1.5 0
68 3 6.27465 -3.46945e-18 1.5 0
69 2 7.18451 -3.46945e-18 1.5 0
70 2 7.18451 -3.46945e-18 1.1 0
71 3 6.27465 -3.46945e-18 1.1 0
72 3 5.66076 -3.46945e-18 1.1 0
73 1 5.20179 -3.46945e-18 1.1 0
74 1 4.89495 -3.46945e-18 1.1 0
75 1 4.58713 -3.46945e-18 1.1 0
76 1 4.27536 -3.46945e-18 1.1 0
77 3 3.81919 -3.46945e-18 1.1 0
